version,filename,sha256,origin_path,engine_commit
0044,0044_rogue_takeout_retrace.sql,5cd5c84f2d5f90c4c26f0dce4c61bfc45e124a1a8dd4dc4a2de0f02f187d0ba9,src/kayak/data/db/migrations/0044_rogue_takeout_retrace.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0046,0046_reach_max_gradient_backfill.sql,5141251c8008cab18b56a1801d18ea7ce1580f17c39904c052319466cb3ecaeb,src/kayak/data/db/migrations/0046_reach_max_gradient_backfill.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0047,0047_sf_wilson_putin_drop_lake.sql,dacf8b387a713cb505243bcade0a3922fef4feeb6ccb2eceb5a4a2e6fe5967d8,src/kayak/data/db/migrations/0047_sf_wilson_putin_drop_lake.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0048,0048_sf_wilson_putin_drop_cascade.sql,d5dd69eca211893f79f97ad249dd7c4d72090ff44eb7c861ed089492fdc00cef,src/kayak/data/db/migrations/0048_sf_wilson_putin_drop_cascade.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0049,0049_reach_endpoint_corrections.sql,a635953fec5c5fb2819f5d1f9f8a2b3f0e0f0969ce5c69f7b512dae46f18e961,src/kayak/data/db/migrations/0049_reach_endpoint_corrections.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0050,0050_missouri_takeout_above_dam.sql,b7b0208afcdabcb2345093cbd5af394de2bda4607284c8bf6a6fd3f0b13746b8,src/kayak/data/db/migrations/0050_missouri_takeout_above_dam.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0052,0052_snap_canyon_reaches.sql,d3453accc29b5634feab328ecc2689c1f02acd8f46fd09e4c8055e9b1926449b,src/kayak/data/db/migrations/0052_snap_canyon_reaches.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0053,0053_nf_rogue_rename_putin_snap.sql,977856562f1f5c5e5394f5a45e7bc855bb75ac174a26a700b58110cc9b466dd0,src/kayak/data/db/migrations/0053_nf_rogue_rename_putin_snap.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0054,0054_extreme_peak_round_2.sql,33174bd7d7189a71a15621b0eef21ca5f5bf3d3820b431b3c4430b83aaacefec,src/kayak/data/db/migrations/0054_extreme_peak_round_2.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0055,0055_extreme_peak_round_3.sql,e9ff5a1559faa4d15668f04130970526fb5caf51b4f8d0c126246996e93039d0,src/kayak/data/db/migrations/0055_extreme_peak_round_3.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0056,0056_snap_two_more_canyon_traces.sql,db603d0a4ed92dd2f70a447642deb4969993eeb3d7b0f3c9e0390c4b49f80dfc,src/kayak/data/db/migrations/0056_snap_two_more_canyon_traces.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0057,0057_sf_mckenzie_putin_snap.sql,ebd971c48fb79de6836d05a43217c5f64fbaf9f17b4b74dcf3033de487b9898f,src/kayak/data/db/migrations/0057_sf_mckenzie_putin_snap.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0058,0058_lift_gradient_unreliable.sql,b07b119daca2ba5076663ca8460d6574c6f8390dd288e1ad139953378616f1fd,src/kayak/data/db/migrations/0058_lift_gradient_unreliable.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0059,0059_restore_lifted_gradients.sql,001625e7dadb0541c2587f3ab57714d01076b3fec8a39767facb8a9583351d47,src/kayak/data/db/migrations/0059_restore_lifted_gradients.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0060,0060_align_gradient_unreliable_134_186.sql,bbcb325e36b6b676f6854aa4d24e9d93696cc72f49d1455a79ccafcea146fa12,src/kayak/data/db/migrations/0060_align_gradient_unreliable_134_186.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0061,0061_trim_huc_name_to_read_levels.sql,22d1c942ec34aea3f4f9992b6da4796397baa8bc4c6bd46ca50480580dd26aa8,src/kayak/data/db/migrations/0061_trim_huc_name_to_read_levels.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0062,0062_normalize_source_agency.sql,c8d5f00bf67a7375deb36c55f8ad75447824890da207ce2934b1fcb8440ba45e,src/kayak/data/db/migrations/0062_normalize_source_agency.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0063,0063_wire_green_peter_outflow_nwrfc.sql,20b0403180775b8f90a48895511eb953c37a517910df6dd905ff509432d97702,src/kayak/data/db/migrations/0063_wire_green_peter_outflow_nwrfc.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0064,0064_normalize_agency_pacificorp_usace.sql,a67356824859054d4ab2d455f0b0f36f2d010d62cb9cb6e756625238b643a883,src/kayak/data/db/migrations/0064_normalize_agency_pacificorp_usace.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0065,0065_split_usgs_sources.sql,1a48a6429610be5e8b175d2dcfbba6105a95415d11f55f11ddc4e63720aa9451,src/kayak/data/db/migrations/0065_split_usgs_sources.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0066,0066_wire_columbia_usgs_gauges.sql,8f1fa7dbfb61e0ea8ad61a295a09c61978add9e1e348168184f7fb34837fa844,src/kayak/data/db/migrations/0066_wire_columbia_usgs_gauges.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0067,0067_wire_lewis_reaches.sql,6fa57430564a9546b785e9f62151ee2f028c6ffc17d435d7090c8d43f97beb70,src/kayak/data/db/migrations/0067_wire_lewis_reaches.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0068,0068_wire_crooked_basin.sql,4675d2de20d88a6eccdc7c7680c0cd2a0ae05c22ee5981a49c319f917c094566,src/kayak/data/db/migrations/0068_wire_crooked_basin.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0069,0069_wire_usace_columbia_dam_outflow.sql,147b6c8f6b22a4a7358870ac4343dfffe8a32b46d2e40d210567d78f1465caf5,src/kayak/data/db/migrations/0069_wire_usace_columbia_dam_outflow.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0070,0070_wire_columbia_nws_stage_gauges.sql,0157a0bd7811ad44d70f3ce749486cac1cfc1d4f1fceabb2364d8ddcbdd69d06,src/kayak/data/db/migrations/0070_wire_columbia_nws_stage_gauges.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0071,0071_drop_bridgeport_gauge.sql,0c52e1746cfe85f82e97df8900162a5f16fae8eeb849f4da8f425c81f7e6590f,src/kayak/data/db/migrations/0071_drop_bridgeport_gauge.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0072,0072_rename_wa_gov_sources_by_filename.sql,4cd3f0db4ca381b41c9b617680c0e98143a39506c161e15fe1a19a5e2298058d,src/kayak/data/db/migrations/0072_rename_wa_gov_sources_by_filename.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0073,0073_name_remaining_reaches.sql,b958e6ab4489176370c0daf865f8603bf76737e628d9362486e2f1b60bee24a3,src/kayak/data/db/migrations/0073_name_remaining_reaches.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
0074,0074_disambiguate_duplicate_aw_id_reaches.sql,c8bd043075c23ccab5cc434634e73b365e9200c808ac45fd6cefeb3529e1ee08,src/kayak/data/db/migrations/0074_disambiguate_duplicate_aw_id_reaches.sql,aa89a6661b8c7e8413f0a8191add913d627c96a7
